symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,607988600014,607988600007,1,29200.50,29205.50,$10.00,08/04/2026 13:32:39,08/04/2026 13:32:34,4sec
NQU6,-2,0,0.25,607988600022,607988600030,4,29267.50,29289.00,"$1,720.00",08/04/2026 14:30:28,08/04/2026 14:30:41,13sec
NQU6,-2,0,0.25,607988600045,607988600088,1,29759.25,29775.00,$315.00,08/07/2026 14:32:08,08/07/2026 14:34:44,2min 36sec
MNQU6,-2,0,0.25,607988600131,607988600104,3,29788.25,29795.25,$42.00,08/10/2026 14:36:06,08/10/2026 14:34:10,1min 55sec
MNQU6,-2,0,0.25,607988600136,607988600104,2,29788.25,29795.25,$28.00,08/10/2026 14:36:06,08/10/2026 14:34:10,1min 56sec
MNQU6,-2,0,0.25,607988600152,607988600170,5,29750.50,29721.25,$(292.50),08/11/2026 14:41:56,08/11/2026 14:44:12,2min 15sec
NQU6,-2,0,0.25,607988600178,607988600197,1,29657.50,29662.00,$90.00,08/11/2026 14:46:21,08/11/2026 14:46:59,37sec
NQU6,-2,0,0.25,607988600205,607988600239,1,29671.75,29672.50,$15.00,08/11/2026 14:48:54,08/11/2026 14:50:24,1min 29sec
NQU6,-2,0,0.25,607988600273,607988600254,1,29877.75,29879.25,$30.00,08/13/2026 14:32:27,08/13/2026 14:31:39,48sec
NQU6,-2,0,0.25,607988600287,607988600281,1,29892.50,29871.25,$(425.00),08/13/2026 14:33:08,08/13/2026 14:32:34,34sec
NQU6,-2,0,0.25,607988600295,607988600316,1,29908.75,29942.75,$680.00,08/13/2026 14:34:06,08/13/2026 14:35:10,1min 3sec
NQU6,-2,0,0.25,607988600295,607988600321,1,29908.75,29942.50,$675.00,08/13/2026 14:34:06,08/13/2026 14:35:10,1min 3sec
MNQU6,-2,0,0.25,607988600347,607988600340,5,30219.00,30219.25,$2.50,08/14/2026 14:34:00,08/14/2026 14:33:47,12sec
NQU6,-2,0,0.25,607988600369,607988600355,1,30207.00,30211.25,$85.00,08/14/2026 14:36:06,08/14/2026 14:35:27,39sec
NQU6,-2,0,0.25,607988600377,607988600395,1,30202.50,30219.75,$345.00,08/14/2026 14:39:33,08/14/2026 14:40:09,36sec
